Gene	state
Kctd3	-1
Mthfr	1
Cdk17	-1
Tmx1	1
Cstf1	1
Plekhf2	1
Zfp157	1
Amdhd2	1
Gm15487	1
Sp1	-1
Timm17a	-1
Ikbkb	1
Cenph	1
Ywhaq	-1
Myl12b	1
Mdm4	1
Phf10	-1
Abcg1	1
Hcfc2	1
Gm14410	1
Capsl	1
Ap3d1	1
Mrpl11	-1
Gm7204	-1
Dhx32	1
Zcchc10	1
Wnk3	-1
Luzp1	-1
Crot	1
Bag5	1
Spon1	-1
Galk2	1
Pdgfc	1
Ssr2	1
Ankrd10	1
Gm6485	-1
Ntn1	1
Tnks2	-1
Tm9sf4	1
B3galtl	1
Ogdhl	1
Adar	1
Zfp281	-1
Lrrc16a	-1
Stk31	1
Exo1	1
Cacna1a	1
Atmin	1
Stx7	-1
Smek2	1
Trim44	-1
Kctd6	1
Gm10039	1
Psmc2	1
Mief2	1
Atp6v1c1	1
Kat2b	1
Slc2a3	-1
Smpd2	1
Tesk2	1
Plekhm3	1
Phyh	1
Dync1h1	1
Iqcg	-1
Kdm1a	-1
Creg1	1
Dpf2	1
Mreg	1
Klf5	1
Pnma2	-1
Wtap	1
Gm10323	1
Tyw3	1
Aldh18a1	1
Mki67	-1
Pnma5	1
Zxdc	1
Gm13139	1
Crebbp	1
St3gal4	1
Atp5o	1
Cd2bp2	1
Pin1	1
Zak	-1
Stard3nl	1
Psmc4	1
1500012F01Rik	1
Alg5	1
Ndufv1	1
Pabpc1	-1
Xpo4	-1
Mynn	1
H2-K1	-1
Ints7	1
Pold1	1
Hmga1	-1
Amotl2	-1
Rragd	1
